element	sp_num	obs_wl_vac(nm)	ritz_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
N	3	""	"169.8182"	""	"1.21e+08"	B	"309691.8"	"368578.3"	"2s.2p.(3P*).3p"	"4D"	"3/2"	"2s.2p.(3P*).4s"	"4P*"	"3/2"		"T7192LS"	""	
N	3	""	"169.8999"	""	"1.88e+08"	B	"309656.2"	"368514.4"	"2s.2p.(3P*).3p"	"4D"	"1/2"	"2s.2p.(3P*).4s"	"4P*"	"1/2"		"T7192LS"	""	
N	4	""	"169.9030"	""	"2.40e+08"	C+	"495482.6"	"554339.7"	"1s2.2p.(2P*).3d"	"3F*"	"3"	"1s2.2s.5g"	"3G"	"4"		"T5600c20"	""	
N	4	""	"169.9030"	""	"2.06e+07"	C+	"495482.6"	"554339.7"	"1s2.2p.(2P*).3d"	"3F*"	"3"	"1s2.2s.5g"	"3G"	"3"		"T5600c20,LS"	""	
N	3	""	"169.9336"	""	"3.01e+08"	B	"309849.8"	"368696.3"	"2s.2p.(3P*).3p"	"4D"	"7/2"	"2s.2p.(3P*).4s"	"4P*"	"5/2"		"T7192LS"	""	
N	3	""	"169.9963"	""	"2.37e+08"	B	"309753.5"	"368578.3"	"2s.2p.(3P*).3p"	"4D"	"5/2"	"2s.2p.(3P*).4s"	"4P*"	"3/2"		"T7192LS"	""	
N	3	""	"170.0027"	""	"1.88e+08"	B	"309691.8"	"368514.4"	"2s.2p.(3P*).3p"	"4D"	"3/2"	"2s.2p.(3P*).4s"	"4P*"	"1/2"		"T7192LS"	""	
N	4	""	"170.2012"	""	"2.55e+08"	C+	"495585.7"	"554339.7"	"1s2.2p.(2P*).3d"	"3F*"	"4"	"1s2.2s.5g"	"3G"	"5"		"T5600c20"	""	
N	4	""	"170.2012"	""	"1.59e+07"	C+	"495585.7"	"554339.7"	"1s2.2p.(2P*).3d"	"3F*"	"4"	"1s2.2s.5g"	"3G"	"4"		"T5600c20,LS"	""	
N	4	""	"170.2012"	""	"3.12e+05"	C	"495585.7"	"554339.7"	"1s2.2p.(2P*).3d"	"3F*"	"4"	"1s2.2s.5g"	"3G"	"3"		"T5600c20,LS"	""	
N	5	""	"170.2267"	""	"2.57e+08"	A	"615141.0"	"673886.2"	"1s2.4p"	"2P*"	"1/2"	"1s2.5s"	"2S"	"1/2"		"T5118LS"	""	
N	5	""	"170.3218"	""	"5.14e+08"	A	"615173.8"	"673886.2"	"1s2.4p"	"2P*"	"3/2"	"1s2.5s"	"2S"	"1/2"		"T5118LS"	""	
N	2	""	"170.8637"	""	"2.24e+05"	D	"144187.94"	"202714.12"	"2s.2p3"	"1D*"	"2"	"2s2.2p.4p"	"3D"	"1"		"T6385"	""	
N	2	""	"170.9663"	""	"1.86e+07"	B	"164610.76"	"223101.82"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.6s"	"1P*"	"1"		"T5520"	""	
N	4	""	"171.8550"	""	"8.83e-05"	C	"130693.9"	"188882.5"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2p2"	"1D"	"2"	M2	"T4308"	""	
N	4	"171.855"	"171.8550"	"1000"	"2.321e+08"	A+	"130693.9"	"188882.5"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2p2"	"1D"	"2"		"u24"	"L4738"	
N	3	""	"171.9581"	""	"1.29e+07"	C+	"330232.1"	"388385.8"	"2s.2p.(3P*).3d"	"4F*"	"3/2"	"2s.2p.(3P*).4f"	"4D"	"1/2"		"T7192LS"	""	
N	2	""	"172.0412"	""	"5.24e+07"	C+	"170666.23"	"228791.83"	"2s2.2p.3p"	"3P"	"2"	"2s.2p2.(4P).3p"	"3D*"	"3"		"T5520LS"	""	
N	3	""	"172.0439"	""	"2.57e+06"	C	"330232.1"	"388356.8"	"2s.2p.(3P*).3d"	"4F*"	"3/2"	"2s.2p.(3P*).4f"	"4D"	"3/2"		"T7192LS"	""	
N	2	""	"172.0462"	""	"3.93e+07"	C+	"170607.89"	"228731.81"	"2s2.2p.3p"	"3P"	"1"	"2s.2p2.(4P).3p"	"3D*"	"2"		"T5520LS"	""	
N	2	""	"172.0528"	""	"2.91e+07"	C+	"170572.61"	"228694.30"	"2s2.2p.3p"	"3P"	"0"	"2s.2p2.(4P).3p"	"3D*"	"1"		"T5520LS"	""	
N	3	""	"172.1458"	""	"1.03e+07"	C+	"330266.5"	"388356.8"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).4f"	"4D"	"3/2"		"T7192LS"	""	
N	2	""	"172.1573"	""	"2.18e+07"	C+	"170607.89"	"228694.30"	"2s2.2p.3p"	"3P"	"1"	"2s.2p2.(4P).3p"	"3D*"	"1"		"T5520LS"	""	
N	3	""	"172.1846"	""	"1.22e+05"	D	"330232.1"	"388309.3"	"2s.2p.(3P*).3d"	"4F*"	"3/2"	"2s.2p.(3P*).4f"	"4D"	"5/2"		"T7192LS"	""	
N	2	""	"172.2191"	""	"1.31e+07"	C+	"170666.23"	"228731.81"	"2s2.2p.3p"	"3P"	"2"	"2s.2p2.(4P).3p"	"3D*"	"2"		"T5520LS"	""	
N	3	""	"172.2867"	""	"2.23e+06"	C+	"330266.5"	"388309.3"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).4f"	"4D"	"5/2"		"T7192LS"	""	
N	2	""	"172.3304"	""	"1.45e+06"	C	"170666.23"	"228694.30"	"2s2.2p.3p"	"3P"	"2"	"2s.2p2.(4P).3p"	"3D*"	"1"		"T5520LS"	""	
N	3	""	"172.3951"	""	"6.62e+04"	D	"330266.5"	"388272.8"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).4f"	"4D"	"7/2"		"T7192LS"	""	
N	3	""	"172.4411"	""	"1.04e+07"	C+	"330318.5"	"388309.3"	"2s.2p.(3P*).3d"	"4F*"	"7/2"	"2s.2p.(3P*).4f"	"4D"	"5/2"		"T7192LS"	""	
N	2	""	"172.4653"	""	"2.88e+07"	B	"144187.94"	"202170.63"	"2s.2p3"	"1D*"	"2"	"2s2.2p.4p"	"1P"	"1"		"T6385"	""	
N	2	""	"172.5028"	""	"2.11e+06"	D	"148940.17"	"206910.24"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.4p"	"1S"	"0"		"T6385"	""	
N	3	""	"172.5498"	""	"1.30e+06"	C	"330318.5"	"388272.8"	"2s.2p.(3P*).3d"	"4F*"	"7/2"	"2s.2p.(3P*).4f"	"4D"	"7/2"		"T7192LS"	""	
N	3	""	"172.7626"	""	"1.13e+07"	C+	"330389.9"	"388272.8"	"2s.2p.(3P*).3d"	"4F*"	"9/2"	"2s.2p.(3P*).4f"	"4D"	"7/2"		"T7192LS"	""	
N	3	""	"172.9834"	""	"1.12e+09"	C+	"330232.1"	"388041.1"	"2s.2p.(3P*).3d"	"4F*"	"3/2"	"2s.2p.(3P*).4f"	"4G"	"5/2"		"T7192LS"	""	
N	3	""	"172.9897"	""	"1.30e+09"	C+	"330389.9"	"388196.8"	"2s.2p.(3P*).3d"	"4F*"	"9/2"	"2s.2p.(3P*).4f"	"4G"	"11/2"		"T7192LS"	""	
N	3	"172.9945"	"172.9945"	"250"	"1.19e+09"	C+	"330318.5"	"388123.8"	"2s.2p.(3P*).3d"	"4F*"	"7/2"	"2s.2p.(3P*).4f"	"4G"	"9/2"		"T7192LS"	"L3513"	
N	3	""	"173.0002"	""	"1.12e+09"	C+	"330266.5"	"388069.9"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).4f"	"4G"	"7/2"		"T7192LS"	""	
